E(ħω₀)|α↓|ω→	0.1 ω₀	0.2 ω₀	0.3 ω₀	0.4 ω₀	0.5 ω₀	0.6 ω₀	0.7 ω₀	0.8 ω₀	0.9 ω₀	1.0 ω₀	1.1 ω₀	1.2 ω₀	1.3 ω₀	1.4 ω₀	1.5 ω₀	1.6 ω₀	1.7 ω₀	1.8 ω₀	1.9 ω₀	2.0 ω₀
5.7	-4.2356549133687595	-4.292872336813797	-4.349969057404955	-4.406907318373979	-4.463632659397874	-4.520069162497743	-4.576114878731788	-4.631638977311186	-4.686482914692086	-4.740467861608751	-4.793408845222351	-4.8451328019205455	-4.895495188166377	-4.944390314833421	-4.991753798396814	-5.0375587686286325	-5.081808802059208	-5.124530133709495	-5.165764642433108	-5.205564192988585
5.8	-4.296926816158745	-4.354015461836363	-4.41097265451533	-4.467761856532613	-4.524331249873505	-4.580609572525761	-4.636502104569289	-4.691888057304822	-4.746621241052675	-4.800535926816511	-4.853458553528909	-4.905223382121233	-4.955687860161235	-5.0047433208044145	-5.052318933703904	-5.0983796831189725	-5.142920722240713	-5.185960461342193	-5.227533963228183	-5.267687389941748
5.9	-4.3585528277090795	-4.415518235497261	-4.4723422661491	-4.528989526770593	-4.585410604048461	-4.641538404847443	-4.697284624905622	-4.752537372233265	-4.8071614836472945	-4.86100316466721	-4.913899687733065	-4.965692903341512	-5.016243258951216	-5.065440484381376	-5.1132086374210335	-5.159505606593901	-5.204318822103	-5.247659266850789	-5.289555365460356	-5.330047614200111
6.0	-4.420523215883657	-4.4773705642250565	-4.5340673632038975	-4.5905792982480005	-4.646859154370857	-4.702843589165002	-4.758450018558393	-4.813574462308186	-4.868091617336075	-4.921858542628467	-4.974722705624421	-5.026533608939733	-5.077155449520306	-5.126477515759212	-5.174419975143508	-5.22093464784894	-5.2660019741925055	-5.3096259612598455	-5.351828628304573	-5.392644889424354
6.1	-4.482828694041844	-4.539562830912061	-4.596137931911658	-4.652520700974013	-4.708665941090217	-4.764513699558227	-4.819986514881773	-4.874987468879718	-4.9294000945672956	-4.983091313043697	-5.035918124273751	-5.087737595573352	-5.138418204083135	-5.1878497576733675	-5.235949629284587	-5.282664554278726	-5.327968729671169	-5.371859679479521	-5.41435329822352	-5.455479044971339
6.2	-4.545460392623346	-4.602085863262024	-4.658544437979587	-4.7148037850254605	-4.770820566854034	-4.826537907071478	-4.881882950749823	-4.936765106333178	-4.9910758438866605	-5.044691044637622	-5.0974765799130575	-5.149296887060811	-5.200025073645875	-5.249552243878946	-5.297793941082703	-5.344692739077904	-5.390217334346323	-5.434359288789042	-5.477128692738368	-5.518549716907271
6.3	-4.6084098330389445	-4.664930904838046	-4.721277793958052	-4.77741908359309	-4.8333131555848645	-4.888905936386604	-4.944128730011784	-4.998896632784777	-5.053108261913008	-5.106647642555254	-5.159388874481147	-5.211203497051024	-5.261969452924807	-5.311579755486181	-5.359948953471744	-5.40701631069754	-5.452745747251603	-5.497123399621643	-5.540153906069939	-5.581856350460205
6.4	-4.671668903642516	-4.728089588531759	-4.784329329482887	-4.8403575794244365	-4.896134315176161	-4.951608026253835	-5.006713785553513	-5.061371820573927	-5.115487200774417	-5.168951359409	-5.221646010777412	-5.273449481176226	-5.324244638109473	-5.373926874065153	-5.422410453728699	-5.469632103745776	-5.5155516612714495	-5.560150378374333	-5.603427816519081	-5.6453982038619674
6.5	-4.735229837584752	-4.791553912208474	-4.847690764084131	-4.903610674286916	-4.959275103595823	-5.014634893356055	-5.069628543976954	-5.124180927229245	-5.178202952521053	-5.231592799394822	-5.28423921807093	-5.336026979617651	-5.386843877352065	-5.436588030749919	-5.485174014976079	-5.532536710563571	-5.578632525282817	-5.6234383619280495	-5.666949095419008	-5.709174353501497
6.6	-4.799085192371282	-4.8553162163116745	-4.911354182291516	-4.9671701611223895	-5.022726998032909	-5.0779776992959045	-5.132863892831713	-5.1873146673531245	-5.2412462316529025	-5.294562917160821	-5.347159969846404	-5.398928251141092	-5.449760414165248	-5.499557550862109	-5.548235035796902	-5.595726512777823	-5.641985567292317	-5.686985273540512	-5.7307162174635335	-5.7731837002867135
