M(m₀)|α↓|ω→	0.1 ω₀	0.2 ω₀	0.3 ω₀	0.4 ω₀	0.5 ω₀	0.6 ω₀	0.7 ω₀	0.8 ω₀	0.9 ω₀	1.0 ω₀	1.1 ω₀	1.2 ω₀	1.3 ω₀	1.4 ω₀	1.5 ω₀	1.6 ω₀	1.7 ω₀	1.8 ω₀	1.9 ω₀	2.0 ω₀
4.0	1199.0127775782687	260.2010917011358	99.21058971887864	47.478333049591576	25.891032254476755	15.621258378154716	10.367286158117796	7.517194031961877	5.8649274848396615	4.836386686494555	4.152363573509774	3.671177387628939	3.3167622619523014	3.045818844681478	2.8323246476097226	2.6598717589528036	2.5176751099183994	2.3983867122251583	2.296842902711105	2.209316339039037
4.1	1274.3975491945646	278.77121096263255	107.2830763107688	51.85365049403714	28.516326137044906	17.26368444690132	11.41382522559007	8.201329159973517	6.3311046341364845	5.169775188781786	4.401970722494956	3.8655715848332064	3.4731683943760254	3.175050854342706	2.941448899363266	2.7536788888506063	2.5995212159162433	2.4706917597204603	2.361396549340526	2.267471804158179
4.2	1350.6550675832264	297.58583874711064	115.48413667590096	56.32210239241306	31.22444850643858	18.984770269554538	12.529648081355784	8.939523105238464	6.83618798954306	5.530434632898332	4.670835799970567	4.073869564033576	3.6398801974732637	3.3121210385703295	3.0566765448977864	2.8523386742364547	2.6852965925801464	2.5462294663020635	2.428647001546633	2.3279046480944365
4.3	1427.7356607012189	316.6288150731503	123.80342500312679	60.874301450673066	34.005622728883466	20.77561176855876	13.709253178313421	9.729978852110603	7.3803944926778255	5.919194732794004	4.959801222375702	4.296762606646118	3.817428505816585	3.457429528324828	3.1783093255934496	2.9560805687193557	2.775177734610919	2.625137279423596	2.4987026159072916	2.3907012941506296
4.4	1505.5949914364148	335.8859627388787	132.2320960810891	65.50241350523619	36.85166746524888	22.628251858719082	14.946913591314216	10.570130340881773	7.963327938718891	6.336550496940649	5.269552254627159	4.534872450732572	4.006314213460342	3.611363945007203	3.306644089486168	3.06513242909457	2.869340925468164	2.7075529730958428	2.5716722408029007	2.4559486646971798
4.5	1584.1932467724018	355.34481060915044	140.76252124958327	70.19984837611742	39.7557407216702	24.535738174976235	16.23702104566318	11.45688208043131	8.584028076491881	6.782638293858774	5.600587457056276	4.788730972837401	4.206996088720785	3.7742923107622968	3.4419686300124863	3.179718012797496	2.967960686600607	2.793613656614949	2.6476645634831515	2.5237337388768015
4.6	1663.494476478295	374.9942308013685	149.3880657161942	74.96101548495149	42.7121055748587	26.492078883422632	17.574310465689887	12.386846098436568	9.241059815516731	7.2572356726526115	5.953197327920613	5.058761744087487	4.419878619714304	3.946555620542577	3.5845572042763747	3.300054240159045	3.0712080665738255	2.883454676728891	2.7267873863211296	2.594143062895282
4.7	1743.4659762749466	394.8242816634386	158.1029131372814	79.78113171197003	45.715928971236366	28.492148248948777	18.953981803066316	13.356546209568288	9.932626722419858	7.759784615752462	6.327453536353455	5.34526499339293	4.645300606169461	4.128460381478776	3.7346658594278024	3.426348276471749	3.1792487943533443	2.977208424346531	2.8091468375555415	2.6672622155465535
4.8	1824.0781348550547	414.82601630085463	166.90192660123824	84.65607041948675	48.76311483757938	30.531574628979264	20.37174588671644	14.362574681302645	10.656691614927103	8.2894344194958	6.723209922473464	5.648407326415022	4.883525255209096	4.320271478488964	3.892527729443782	3.5587945073560117	3.2922413308033325	3.075003062118451	2.8948465246638313	2.743175233209599
4.9	1905.3036218696939	434.99133874108844	175.78053772167584	89.58224253847004	51.85016829186801	32.606629201630135	21.823820550139704	15.401699269108672	11.411089711498802	8.845097937317528	7.140114981844459	5.968217150788296	5.134732496979823	4.522205752496129	4.05834849135992	3.697571497893425	3.410334862145448	3.176961194598825	2.983986641509293	2.821964000255891
5.0	1987.1173680325535	455.31288585479115	184.7346575303175	94.55650250628406	54.9740862682683	34.71412435203899	23.306898050333732	16.47092674229816	12.193624690584029	9.42551397151635	7.577634168335774	6.304586199579334	5.39901410375854	4.7344266706426295	4.232302185466719	3.842839039588447	3.5336672879069906	3.283198507904449	3.076663043422036	2.9037076125575285
5.1	2069.4962309888406	475.7839297620607	193.7606043667838	99.57607345335038	58.13226980318187	36.85132510480545	24.818098588960567	17.567532549017017	13.002143226145161	10.029309122652164	8.035079332493671	6.657276921535549	5.6763719840573765	4.957040422147451	4.4145276044591615	3.994735397533163	3.662363262906472	3.393822410437577	3.172966307232865	2.988481723507297
5.2	2152.418773779059	496.39829663092166	202.85504510022798	104.63848732976943	61.32245374185754	39.015874013963405	26.354919399343146	18.68906656178684	13.834587772528828	10.655053950938719	8.511642132056322	7.025934930804349	5.966719758583634	5.190093690416967	4.605125439759782	4.153374871533277	3.796532357214735	3.5089307099176206	3.2729807957881767	3.0763578835595973
5.3	2235.8650762682955	517.1502986745375	212.01494687502432	109.7415366712359	64.54265030939469	41.20572849363471	27.915184906431357	19.83334342912988	14.689030056461487	11.30131026875336	9.006428319929544	7.41010527898076	6.269887446616816	5.43357323949528	4.804156339068466	4.318845778319141	3.9362673990394295	3.6286103642665855	3.3767837484239918	3.1674028856734893
5.4	2319.8165737316067	538.0346768424871	221.23753721863926	114.88323547694127	67.79110366202698	43.41910901418105	29.497000811913285	20.998424063041984	15.563688991829975	11.966668247797498	9.518490312274443	7.809251087649208	6.585628841215435	5.6874073241261645	5.0116399799038165	4.491208947029685	4.081643062590602	3.752936344463825	3.4844444200741975	3.2616781300822892
5.5	2404.2559179369723	559.0465522298659	230.52027083802747	120.06178726062814	71.0662531230935	45.654456484624845	31.09871330480191	22.182592862769305	16.45693695200768	12.649773474557533	10.046856175919507	8.222773068882125	6.913630964658859	5.95146880383693	5.227555204060413	4.670496797603962	4.232714756009056	3.8819706460779675	3.596023291962439	3.3592390224284183
5.6	2489.166856967992	580.1813846371081	239.86080180119396	125.27555878221133	74.36670329517102	47.91039725318357	32.718873640738906	23.3843336908525	17.367297945145047	13.349345021210944	10.59055396106815	8.650028628987952	7.253524892499971	6.225579728674961	5.451841193757094	4.856713043199679	4.38951785359098	4.015761482696297	3.711571376058298	3.4601344194081802
5.7	2574.534130740277	601.4349370294467	249.25696008272982	130.5230583057787	77.6911996306573	50.18571435398161	34.35620782397022	24.60230643733724	18.293440582856697	14.064186062585541	11.148631001101668	9.090349534840026	7.604897219238581	6.5095170804452485	5.68439960870481	5.049833025732046	4.552067302458281	4.154342688976852	3.8311296336164133	3.564406135607365
5.8	2660.3433797337557	622.8032448924715	258.7067316682687	135.80291748696007	81.03860835125145	52.47932384271451	36.009590889121846	25.83532518830874	19.234168033610576	14.793188681354792	11.720168329994165	9.543057453854926	7.967301499241219	6.803019305995474	5.925097550807077	5.249804661023955	4.720357617504993	4.297733353806943	3.9547285251890876	3.672088524152263
5.9	2746.5810649045193	644.2825896735004	268.20824157941036	141.11387618861892	84.40789984740942	54.79025526608763	37.67802520002976	27.082338477079922	20.1884065260402	15.535334393320763	12.30429071108002	10.007476999950912	8.340269111255195	7.10579326952546	6.173771184639746	5.456549939869123	4.894363261164524	4.445937695492879	4.082387705623081	3.7832081421640775
6.0	2833.234397106561	665.8694756514195	277.75974853805707	146.454769673893	87.79813487579686	57.11763548676014	39.360622187702546	28.34241276440881	21.15519346002025	16.28969170123801	12.900172948983103	10.48294618954861	8.723319426867809	7.417521274723286	6.430229819958062	5.669966906167051	5.074039387664903	4.59894531336667	4.214115872915165	3.897783509841849
6.1	2920.291274637325	687.5606096983364	287.359586261741	151.82451774097277	91.20845301782775	59.460675234437794	41.05658699575736	29.614712082092748	22.133665799065586	17.055411725775173	13.507043208335642	10.968824415202706	9.115967001624636	7.737867856521768	6.694260257586917	5.889932015105841	5.259322916287727	4.756730886607034	4.349910774670092	4.015824969402489
6.2	3007.7402277571573	709.3528834928317	297.00624485770237	157.22211545333172	94.63806297491038	61.81865787619005	42.76520556461174	30.898494730194326	23.123049141239576	17.831722712155234	14.124184030616446	11.464498177658266	9.517731727049405	8.066486106454528	6.965631210362937	6.116302764141422	5.45013388581816	4.9192560717768545	4.4897593705856735	4.137334647205131
6.3	3095.570369220133	731.2433578218548	306.6982690509588	162.64662518833495	98.08623436355118	64.19092999831173	44.48583375177762	32.19309175117536	24.122647675528086	18.617923993907993	14.750931660522168	11.969384888654544	9.92814182404709	8.403023365229654	7.244097633001346	6.34892048728012	5.646377033627671	5.086468963646738	4.633638144203652	4.262306519327996
6.4	3183.7713500124605	753.2292486702343	316.43429602379774	168.09716978145153	101.55229074167084	66.5768934718096	46.21788814803518	33.49790204096283	25.131835105146124	19.413379818946918	15.386674193077361	12.482935080378713	10.346739851620727	8.747126183180256	7.529404824764687	6.587613208104747	5.847943538025128	5.258305701676538	4.781513552420501	4.390726577816194
6.5	3272.3333196130393	775.3079148472909	326.21303888908824	173.5729265858613	105.03560365088971	68.97599873740943	47.96083830499571	34.812382843287324	26.150046540245345	20.21751330702381	16.030848950307515	13.004633347731886	10.773085790432585	9.098444508041355	7.82129220248032	6.832198457662974	6.054712861599871	5.434691421077389	4.933342597211955	4.522573091935276
6.6	3361.246890206254	797.4768469405727	336.03328024823406	179.07312230087337	108.53558750145648	71.38773909688298	49.714200137741315	36.136042449641536	27.176771315687688	21.02980070649265	16.6829394022225	13.533998319466276	11.20675937514999	9.45663510690163	8.119496675173083	7.082485977998757	6.266554635865746	5.615541434707113	5.089073500889858	4.6578169561975935
6.7	3450.503104352924	819.7336574206417	345.89386648227617	184.59702844930362	112.05169515958555	73.81164583817626	51.47753030699061	37.468433930423465	28.211546664346823	21.8497660457729	17.342471866072962	14.070581913942068	11.647361550483605	9.821364264209771	8.42375558258024	7.33828024893651	6.483330532950969	5.800762477586871	5.248646464098626	4.796422114794687
