T(K)	v(ω₀)	w(ω₀)	E(meV)	Reχ(m₀/ω₀)	Imχ(m₀/ω₀)	μ(cm²V⁻¹s⁻¹)
187	4.9023740175972845	4.769100198711486	-8.87712965007451	-4.552819552262289e-18	0.20671708801379665	145.35076828971
188	4.92374076352612	4.790089504876919	-8.896976670372897	-4.44180794038155e-18	0.20797526785006787	144.4714454368577
189	4.945128712816891	4.811101112637927	-8.916797624756231	-4.4120530584461964e-18	0.20922864498492388	143.60599411988719
190	4.966537558432901	4.8321347066899065	-8.936592423637212	-4.409351896397138e-18	0.21047724639214127	142.75408898801905
191	4.98796699912773	4.853189977592027	-8.956360982907306	1.799833301369901e-18	0.2117210992297946	141.91541452751267
192	5.009416739314064	4.874266621635999	-8.97610322376347	1.824583469034123e-18	0.21296023070815662	141.08966477686167
193	5.030886488965156	4.895364340747464	-8.995819072540142	1.8166858902385027e-18	0.21419466820339278	140.2765428917479
194	5.052375963421508	4.91648284229246	-9.01550846054647	1.814677247097699e-18	0.21542443903211594	139.47576095086197
195	5.073884883327941	4.937621839014333	-9.035171323908516	1.8372907050722727e-18	0.21664957073218954	138.6870394428742
196	5.09541297447433	4.95878104887433	-9.054807603416357	1.8106224176503136e-18	0.21787009079032357	137.9101071304617
197	5.116959967705258	4.979960194960834	-9.074417244375848	1.8209668614170863e-18	0.21908602677016167	137.14470066563416
198	5.138525598785315	5.001159005354641	-9.094000196464961	1.8163150441479932e-18	0.22029740627522415	136.39056432593202
199	5.160109608272868	5.022377213002113	-9.113556413594571	1.7936590294286228e-18	0.22150425691639847	135.6474497587524
200	5.181711741470798	5.043614555665858	-9.133085853773439	1.817184619181945e-18	0.22270660630814781	134.91511571885363
201	5.20333174825241	5.064870775750104	-9.152588478977355	1.8365853243734843e-18	0.22390448205762095	134.19332782130104
202	5.224969382990797	5.086145620229739	-9.172064255022278	1.831235949978766e-18	0.22509791177479982	133.48185829230206
203	5.246624404499566	5.107438840590868	-9.191513151441415	1.8240832325092723e-18	0.22628692303906442	132.7804857562624
204	5.268296575813032	5.128750192609986	-9.210935141365931	1.8332962429900144e-18	0.2274715432917515	132.08899507434114
205	5.289985664233378	5.150079436401364	-9.230330201409387	1.807378467624284e-18	0.22865180024263101	131.40717689313394
206	5.3116914411378024	5.1714263362233845	-9.249698311555672	1.7938315024862404e-18	0.22982772126614218	130.73482779139115
207	5.333413681960049	5.192790660459728	-9.269039455050311	1.846593523519266e-18	0.2309993337229714	130.07174989279636
208	5.35515216606018	5.214172181488602	-9.28835361829515	1.8264413693171934e-18	0.23216666499219338	129.41775065954133
209	5.376906676624892	5.2355706755826095	-9.307640790746177	1.7979880148372792e-18	0.23332974235005124	128.7726427792472
210	5.398677000631645	5.2569859228722065	-9.326900964814344	1.3833581910573444e-18	0.23448859296715185	128.13624399045278
211	5.420462928741018	5.278417707237965	-9.346134135769713	1.3525359603931633e-18	0.23564324401874004	127.50837685389965
212	5.442264255215661	5.299865816228524	-9.365340301648084	1.3446942712493688e-18	0.2367937225256131	126.88886867837861
213	5.464080777845272	5.321330040985272	-9.384519463160778	1.3620496206008365e-18	0.2379400556267533	126.27755121882305
214	5.485912297905106	5.342810176200357	-9.403671623606904	1.3999415582665893e-18	0.2390822697812774	125.67426095169976
215	5.507758619997936	5.364306019957914	-9.422796788788496	1.3679483428004386e-18	0.24022039192672207	125.07883831353695
216	5.529619552073923	5.385817373753522	-9.441894966927984	1.3917695646082563e-18	0.2413544486834592	124.4911279875494
217	5.551494905353729	5.407344042416832	-9.460966168588325	1.4061716278246383e-18	0.2424844665375279	123.91097867197537
218	5.573384494187868	5.428885833970123	-9.480010406595412	1.6641184972983115e-18	0.2436104720240765	123.33824285865424
219	5.595288136034258	5.450442559605444	-9.499027695962928	1.5944799002617254e-18	0.2447324913660623	122.77277689489321
220	5.617205651427306	5.472014033653134	-9.518018053819278	1.540239483453437e-18	0.24585055078086968	122.2144407079154
221	5.639136863867234	5.493600073470547	-9.536981499336976	1.541137383392295e-18	0.24696467625307597	121.66309780523811
222	5.661081599775573	5.515200499396931	-9.555918053663868	1.5130097421517613e-18	0.2480748938364921	121.11861501478981
223	5.683039688431151	5.536815134688867	-9.574827739856564	1.6527937661585208e-18	0.24918122918726518	120.58086260918292
224	5.705010961934024	5.558443805483692	-9.593710582815863	1.6475079040037422e-18	0.25028370805157485	120.04971396390448
225	5.7269952551069405	5.580086340700226	-9.61256660922412	1.6328177371133251e-18	0.25138235591663916	119.52504562961711
226	5.74899240547728	5.601742572020301	-9.631395847484308	1.6083868160408045e-18	0.2524771982098219	119.00673714085943
227	5.771002253208113	5.623412333819163	-9.650198327661096	1.5973334646658978e-18	0.2535682601171444	118.49467101101673
228	5.7930246410634885	5.645095463130171	-9.66897408142374	1.5858035935284272e-18	0.25465556647455573	117.98873269247419
229	5.81505941429267	5.666791799528437	-9.687723141990318	1.5763569188025063e-18	0.2557391428541478	117.4888099885161
230	5.837106420681751	5.6885011851819565	-9.706445544074004	1.255683740996688e-18	0.25681901376563554	116.99479380773717
231	5.859165510432034	5.710223464729337	-9.725141323830798	1.2420705448357726e-18	0.25789520379000774	116.50657755497626
232	5.881236536087218	5.731958485206369	-9.74381051880872	1.2500040875097477e-18	0.2589677375654468	116.02405706550044
233	5.90331935260786	5.753706096120075	-9.762453167898688	5.324625650447516e-19	0.26003663940135385	115.54713070661423
234	5.925413817193335	5.775466149269958	-9.781069311286629	5.304862966946716e-19	0.26110193354312244	115.0756991864811
235	5.947519789299067	5.797238498764683	-9.799658990407302	5.255582143026988e-19	0.26216364391016755	114.60966560150732
236	5.969637130596686	5.819023000981702	-9.818222247899271	7.282907347954149e-19	0.26322179456661454	114.14893516278707
237	5.991765704911482	5.840819514504224	-9.836759127561134	7.16362122996422e-19	0.2642764092351641	113.69341534635552
