mp_id	formula	eps_total(ϵ0)	eps_optic(ϵ0)	eps_ionic(ϵ0)	omega_LO(THz2π)	band_mass(me)	volume(Å^3)	alpha	v_gs	w_gs	v_rt	w_rt	energy_gs(meV)	energy_rt(meV)	ZPR(meV)	imag_memory	mobility(cm^2/V/s)
mp-1018096	Ba2NF	68.8925	5.3985	63.49399999999999	10.854547146858563	0.5664067600000001	89.9684328065	2.2368327559335257	3.2826755667996776	2.6885434328917386	5.0503705705800135	3.735403430473539	-103.52402858111643	-148.11300472053486	-102.9298	26.148153335280504	18.90044714268473
mp-1018100	AlSb	13.096200000000001	11.800499999999998	1.2957000000000023	9.820397327911266	0.18054001	116.647044123	0.06520313383707475	3.006540860970413	2.9919866231751473	4.617530055850795	4.58342615313563	-2.6491497505446793	-3.9302387972859187	-2.65	0.48950598907786846	3167.452113679115
mp-10182	LiZnP	15.858	10.545499999999999	5.3125	11.131697073786338	0.33200644000000007	45.5166132097	0.31467586543251164	3.0322387332086067	2.9607683245536256	4.262190332058052	4.105624854438858	-14.537288397993589	-20.52225816888886	-14.5315	2.3937379521383177	352.22357144384046
mp-1020019	Li2PNO2	6.424699999999999	2.9942	3.4304999999999994	26.814436779455225	0.59351616	114.305407477	1.5217496706283118	3.176481610323302	2.7972117023082843	2.9528883509705772	2.412147007031567	-172.0851246611713	-190.57941704877015	-171.528	5.194685176825373	90.79245285511982
mp-1020059	LiGe2N3	9.652200000000002	5.224399999999999	4.427800000000001	22.757123370913995	0.30184036	133.00684314	0.5800197123454309	3.0609477142772383	2.9266710749857303	2.888410987903308	2.685883242331916	-54.956293108085916	-62.479700726556615	-54.9135	2.2929427763749817	404.45573989396
mp-10219	YOF	13.7161	3.4242000000000004	10.2919	16.296642994341823	0.52838361	78.606268775	2.2631789893663297	3.2869717393945903	2.6843402876268296	3.8993777585705276	2.797368268209168	-157.30739739076705	-195.94736056319383	-156.4068	21.166733783722645	25.028702973406222
mp-1022	K2S	6.1624	3.1625	2.9999000000000007	6.921905263639232	0.352836	98.6664321834	1.9933680632547641	3.2443493026567083	2.7266781793313	7.047714516124583	5.6319359609910835	-58.61637542874699	-101.03692595594572	-58.317	21.91063403961998	36.20876353118185
mp-10223	Na2PdS2	10.9327	6.203299999999999	4.729400000000002	7.244489208425781	1.0541128899999999	197.363841665	1.5257487610008438	3.1770314754582785	2.7966361727749365	6.562130046468714	5.534508070082463	-46.632957834115295	-78.82070217614447	-46.4645	15.353654578598979	17.295879063543495
mp-10226	NaYS2	12.583	5.337799999999999	7.2452000000000005	9.76504955415994	0.59213025	88.36684675829999	1.5235713607017392	3.1767345212548044	2.796951675665832	5.150251634223017	4.262536661713411	-62.76252651558986	-93.50282928910312	-62.5352	15.374878029595497	30.747697676072956
mp-10246	Na2PtS2	10.8093	5.892899999999999	4.916399999999999	6.908461243453241	0.86378436	198.673276382	1.5653811187456554	3.18244672528482	2.7908647885252713	6.851006718784468	5.769587529136585	-45.651537931528736	-78.79503564653838	-45.479	15.760676564685621	20.561809764325172
