T(K)	v(ω₀)	w(ω₀)	E(meV)	Reχ(m₀/ω₀)	Imχ(m₀/ω₀)	μ(cm²V⁻¹s⁻¹)
113	9.869941320388428	9.685046832954296	-8.819563840266616	0.0	0.015684208394572432	341.03830064864434
114	9.865440663708616	9.679402351213826	-8.858771500948242	0.0	0.016035530817184923	333.5664929889236
115	9.861741376727018	9.67454797105877	-8.89823631508824	0.0	0.016389515472660748	326.36204449281473
116	9.858823366460207	9.670463774681538	-8.937953603242205	0.0	0.016746131549748963	319.41202432417106
117	9.85666686075991	9.667130163143804	-8.977918771369467	0.0	0.017105348990405424	312.7042763584916
118	9.855252420460356	9.66452786842682	-9.01812730994706	0.0	0.017467138472576582	306.22736439068046
119	9.85456094976225	9.662637963727967	-9.058574793025494	0.0	0.017831471393060152	299.97052178127785
120	9.854573704645109	9.661441871798143	-9.099256877229298	0.0	0.01819831985049424	293.9236051375872
121	9.855272299766366	9.660921371774924	-9.140169300713582	0.0	0.01856765662847947	288.0770516673548
122	9.856638713731737	9.661058604397123	-9.181307882079011	0.0	0.01893945517889337	282.42183987769386
123	9.858655293174175	9.661836076035593	-9.222668519253611	0.0	0.019313689605373306	276.94945332537856
124	9.861304755291894	9.663236661193073	-9.264247188345093	0.0	0.019690334647047412	271.65184715163076
125	9.864570189496675	9.665243604120583	-9.306039942469289	0.0	0.020069365662474838	266.5214171619506
126	9.868435057818152	9.667840519197727	-9.34804291055899	0.0	0.020450758613857364	261.55097123290943
127	9.872883194540714	9.671011390551358	-9.390252296156063	0.0	0.020834489928008598	256.73370437129984
128	9.877898804806224	9.674740570647256	-9.43266437619337	0.0	0.02122053697117846	252.06316810781144
129	9.88346646258343	9.679012778253288	-9.475275499766079	0.0	0.021608877308191617	247.5332568932901
130	9.88957110789119	9.683813095661892	-9.518082086897824	0.0	0.02199948815415422	243.13819214444467
131	9.896198043418444	9.689126965313857	-9.561080627305687	0.0	0.022392350326347055	238.8724586722188
132	9.903332930616315	9.694940185898687	-9.604267679161177	0.0	0.022787442933357743	234.73084687681617
133	9.910961785333393	9.701238908001729	-9.647639867856734	0.0	0.023184743892388053	230.7084263139229
134	9.91907097295717	9.708009629261705	-9.691193884774	0.0	0.023584234436453595	226.800483700946
135	9.927647203275917	9.715239189251125	-9.734926486057851	0.0	0.023985895308890417	223.00254833187725
136	9.936677525023226	9.722914764042523	-9.778834491399357	0.0	0.02438970760620654	219.31036912238443
137	9.946149320080169	9.731023860435212	-9.82291478282544	0.0	0.024795653028671674	215.71989944040322
138	9.956050297558463	9.739554310064813	-9.867164303500656	0.0	0.025203713599303894	212.22728773000802
139	9.966368487635052	9.748494263266522	-9.911580056539295	0.0	0.02561387193159162	208.8288639917396
140	9.977092235234869	9.75783218278852	-9.956159103830307	0.0	0.02602611093837667	205.52113185750568
141	9.98821019364153	9.767556837434471	-10.000898564874936	0.0	0.026440413830026255	202.30075869046527
142	9.999711318017635	9.777657295617024	-10.045795615639834	0.0	0.026856764368429504	199.1645644473803
143	10.01158485879562	9.788122918783612	-10.09084748742338	0.0	0.027275146621234477	196.10951509019205
144	10.023820355108393	9.798943354882292	-10.136051465738898	0.0	0.02769554508549503	193.1327136329072
145	10.036407628190126	9.810108531798605	-10.181404889212809	0.0	0.028117944556579514	190.23139359070092
146	10.049336774735766	9.82160865075277	-10.226905148500421	0.0	0.028542330199073266	187.40291141603623
147	10.062598160352985	9.83343417978827	-10.272549685216644	0.0	0.02896868751674647	184.64474011161312
148	10.07618241297589	9.845575847223989	-10.318335990885974	0.0	0.029397002343136264	181.95446309351576
149	10.090080416402039	9.858024635228992	-10.36426160590824	0.0	0.029827260832414926	179.32976842751924
150	10.104283303815393	9.870771773384146	-10.41032411854245	0.0	0.030259449462976037	176.76844334028127
151	10.118782451444277	9.883808732378235	-10.456521163908487	0.0	0.030693554985804516	174.2683693817157
152	10.133569472270665	9.89712721775558	-10.502850423006114	0.0	0.03112956447021568	171.82751731145962
153	10.148636209862257	9.910719163786327	-10.549309621751936	0.0	0.031567465267021554	169.4439427638234
154	10.16397473220804	9.92457672734044	-10.59589653003471	0.0	0.03200724500627875	167.11578196920428
155	10.179577325787585	9.93869228199446	-10.642608960787465	0.0	0.03244889220768111	164.8412446153715
156	10.195436489661823	9.953058412159967	-10.689444769077602	0.0	0.03289239371603387	162.61862314072863
157	10.211544929679052	9.967667907326861	-10.73640185121592	0.0	0.03333773817615868	160.44627111893976
158	10.227895552822035	9.982513756447435	-10.783478143880927	0.0	0.03378491531072113	158.3226042957339
159	10.244481461662495	9.997589142426909	-10.830671623262182	0.0	0.034233913467174956	156.24610908224
160	10.261295948947383	10.012887436745867	-10.877980304221158	0.0	0.03468472179670358	154.2153288486962
161	10.27833249227169	10.028402194168503	-10.925402239467035	0.0	0.035137329679958605	152.22886390695368
162	10.295584748882552	10.044127147581811	-10.972935518752239	0.0	0.03559172672060976	150.28536884126044
163	10.313046550634771	10.060056202985281	-11.020578268082197	0.0	0.036047902739235985	148.3835499834005
164	10.33071189906671	10.076183434600512	-11.06832864894344	0.0	0.03650584774630125	146.52216310867982
165	10.348574960540839	10.092503080045313	-11.11618485754674	0.0	0.03696555201377214	144.70001086177083
166	10.366630061553584	10.109009535676163	-11.164145124086826	0.0	0.037427005966406655	142.9159410374746
167	10.38487168418763	10.125697352072262	-11.21220771201797	0.0	0.03789020023577539	141.16884430855586
168	10.40329446161102	10.14256122956646	-11.260370917344735	0.0	0.038355125642059854	139.4576523571237
169	10.421893173752716	10.159596013951484	-11.308633067928472	0.0	0.03882177318900502	137.78133605239566
170	10.440662743079216	10.176796692286798	-11.35699252280851	0.0	0.03929013408852228	136.1389036202538
171	10.459598230489398	10.194158388822881	-11.405447671538626	0.0	0.039760199173417825	134.52940098650882
172	10.478694831301654	10.211676361017586	-11.453996933537153	0.0	0.04023196098661886	132.95190308230892
173	10.497947871368806	10.229345995679312	-11.502638757452486	0.0	0.0407054165958448	131.40550386727156
174	10.51735280329368	10.247162805210381	-11.551371620541861	0.0	0.041180540391360494	129.88940230192713
175	10.536905202794353	10.265122423999136	-11.600194028064259	0.0	0.04165734154754535	128.40271556453573
176	10.556600765081313	10.283220604823995	-11.649104512686097	0.0	0.04213580654705893	126.9446633691538
177	10.576435301433962	10.30145321545564	-11.698101633901636	0.0	0.0426159281594345	125.51447331835287
178	10.59640473582585	10.31981623530753	-11.747183977464184	0.0	0.043097697600560196	124.11140445318493
179	10.616505101640417	10.338305752176614	-11.796350154832467	0.0	0.04358110908703215	122.73473277658711
180	10.636732538525699	10.356917959121919	-11.845598802627126	0.0	0.04406615460227502	121.38376552666188
181	10.657083289292505	10.375649151386485	-11.894928582101052	0.0	0.04455282701163544	120.05783104419521
182	10.677553696956899	10.394495723462635	-11.944338178621036	0.0	0.045041119039429575	118.75628074918994
