T(K)	v(THz2π)	w(THz2π)	E(meV)	M(mₑ)	R(Å)	κ(N/m)	ReΣ(ps⁻¹)	ImΣ(ps⁻¹)	μ(cm²V⁻¹s⁻¹)
36.0	13.18960684815083	10.966969667579	-275.2788336246241	0.7948559588689678	16.184482335773666	0.0010610863099747487	-1.1030126183442377e-14	5.767471334282893	554.9296569349832
37.0	13.289657576713328	11.044537916774328	-275.26880177684154	0.7956654480524866	16.026114343818907	0.0010797003349866765	-1.0800764262173358e-14	5.88697949641062	543.6643512802065
38.0	13.38931934913722	11.121832663575217	-275.2597329880396	0.7964569480541283	15.87160964756471	0.0010983865835233067	-1.2449163964377794e-14	6.005372522653772	532.9462705007412
39.0	13.48861205193117	11.198868829372266	-275.2516131921254	0.7972310969506504	15.720800708377606	0.0011171469633725736	-1.186674408529435e-14	6.123128192750349	522.6970248157351
40.0	13.587559826035562	11.275665900580382	-275.2444291634883	0.7979883634789806	15.57353015589214	0.0011359837716176564	-1.3040415257493025e-14	6.240582394829271	512.8593272909612
41.0	13.686189953566988	11.352246836346547	-275.2381684081109	0.7987290749949496	15.429650323133854	0.0011548995950301075	-1.26430193848517e-14	6.35759233948114	503.4202757921973
42.0	13.784531925040703	11.428637147243615	-275.2328190647244	0.7994534418608099	15.289022741714792	0.0011738972252428028	-9.37384171552032e-15	6.474757281762658	494.31055862601477
43.0	13.88261666171227	11.504864121326822	-275.22836981540394	0.800161578685432	15.151517615426748	0.001192979586926627	-9.31953088338138e-15	6.592059260815658	485.5145808443388
44.0	13.980475871344407	11.580956177346684	-275.2248098050686	0.8008535227851787	15.017013286329357	0.0012121496774065198	6.376231207736828e-15	6.70948878041009	477.01710125228595
45.0	14.07814151866657	11.656942327664852	-275.2221285693907	0.8015292501877781	14.885395704093384	0.0012314105163217142	1.53839172045767e-14	6.8272537560625794	468.78891619838885
46.0	14.175645394287162	11.732851735728447	-275.22031597063017	0.8021886894629916	14.756557906678925	0.0012507651040819957	1.5097104436518284e-14	6.945607400156037	460.8007197245347
47.0	14.273018767901416	11.80871335488195	-275.2193621409161	0.8028317336316922	14.63039951829069	0.001270216387997088	1.3938388946957228e-14	7.064515300508748	453.04465384701916
48.0	14.37029211344353	11.88455563696095	-275.2192574324934	0.8034582503768468	14.50682626883862	0.0012897672350696684	1.3767262605904799e-14	7.184030248181051	445.5077134072914
49.0	14.467494895402346	11.960406300557537	-275.21999237445215	0.8040680907555434	14.385749537756421	0.0013094204105462282	1.0695115699584135e-14	7.303755756335475	438.2048080043915
