Ω(THz2π)|N|Reσ(μS)	1|-25.818452838782992meV	2|-25.849418626574153meV	3|-25.851938605446147meV	4|-25.852241573425026meV	5|-25.85228294343826meV	6|-25.852289552669724meV	7|-25.85229079473999meV	8|-25.852290889344008meV
2.14	66.18323421909577	69.52281198197602	66.93535142625946	62.58098720875009	60.138541884023006	58.84853805623818	58.12069149449529	58.05992227543756
2.15	66.86311991601586	70.28934346455263	67.68105614331193	63.26146275439645	60.78212382132472	59.47727003719599	58.73642566989881	58.67441008329145
2.16	67.39876423725009	70.89581950565459	68.27567269319209	63.808737586504236	61.301596001000526	59.98824925815571	59.238006361246995	59.17478955793263
2.17	67.7958644338726	71.34885578902767	68.72849231460344	64.23031503315485	61.70423508568401	60.38850209468456	59.63186810055895	59.567886701348506
2.18	68.05575610013052	71.6503403671855	69.04355861013605	64.53198123966071	61.99661478459915	60.68419575207841	59.92451057319067	59.8598855877932
2.19	68.17118511637644	71.7943260325866	69.21752772053776	64.71383887140122	62.18038199059968	60.87689197724857	60.1177340597065	60.0531313558572
2.2	68.1403506908039	71.77974366620545	69.25742905321398	64.78519960432816	62.26564262578562	60.977750617142085	60.222705130609896	60.1582851230566
2.21	67.96969240582595	71.61714132040045	69.1808652144081	64.7697925728857	62.277191442753626	61.01181036401497	60.26467208440259	60.20077763002328
2.22	67.72391719680984	71.38238372273456	69.07725356235744	64.75722859556568	62.3031300487632	61.06457873847076	60.327624856270454	60.26444574542828
2.23	67.60784110198307	71.31001275000555	69.19317353428515	64.98588280278297	62.571845013830085	61.357820373029284	60.62852770346086	60.56582090308129
2.24	68.16834455833659	72.01386656843248	70.13407504926222	66.01521076914312	63.612162044054784	62.401608353037595	61.66409178236469	61.600432304835756
2.25	70.41997548975358	74.60023460764148	72.88251575354104	68.6825422939186	66.18299491222523	64.91183867704731	64.12320347199487	64.0548009920433
2.26	72.69163924623605	77.15958211629702	75.4284052527081	71.04521267013457	68.41779123194169	67.07593595630938	66.2324965986221	66.15908589773422
2.27	74.48204139551116	79.17127034919646	77.40768252836016	72.8668020430532	70.1361199950229	68.73910932955769	67.85203589663902	67.77468177334013
2.28	76.01449508493808	80.89029040204915	79.08454875636062	74.40032233862361	71.57967743229469	70.13493205986876	69.21076981236723	69.1300898536717
2.29	77.36986146447288	82.4089442800313	80.55579817257555	75.73859678086738	72.83550927310688	71.3493783451675	70.39189400436888	70.30815290495097
2.3	78.5808032774128	83.76331499430701	81.86076377207522	76.91863088376799	73.94710633290751	72.42328316420696	71.43636219276313	71.35005761721682
2.31	79.67626957903649	84.98736001857736	83.03285625065739	77.97562995236314	74.93955017546753	73.38165463556476	72.36755690087007	72.27873012565469
2.32	80.66520627499317	86.09115167931326	84.08380897916042	78.91732523059059	75.8240359237306	74.23473025480604	73.19661164310395	73.10558873435693
2.33	81.5597112587615	87.08864564566422	85.02887501560393	79.76113001747396	76.61645407401556	74.9990146234432	73.93899063339545	73.84595162430085
2.34	82.35871869387874	87.9781805687157	85.8674802731121	80.50745721916965	77.31770080062002	75.67540777766392	74.59620419673838	74.5014017934395
2.35	83.06898245294275	88.76818896506518	86.60881885473509	81.16474030926771	77.93638584155936	76.27216022087981	75.17560858490369	75.07923428091992
2.36	83.68646837194875	89.45376957937229	87.250395334864	81.73215121773524	78.47207109508985	76.78930880859394	75.67759307439658	75.57987089863151
2.37	84.2049142754441	90.02925777148903	87.78741919387318	82.20716132298213	78.92324699103581	77.2259860178481	76.10246137744207	76.00354443918191
2.38	84.61236617986803	90.48101396635523	88.21248817491647	82.58607313417122	79.28720901049718	77.57981242524895	76.44674086500096	76.3470962207396
2.39	84.89741244854729	90.79708244017331	88.51777618580833	82.86475750286114	79.56243506900584	77.84980299198732	76.71159950589926	76.61146466504229
2.4	85.05042567320457	90.96950714791997	88.70670708609576	83.05369405699192	79.75799187906169	78.04647847588397	76.90686664207966	76.80656940277304
2.41	85.08204212268885	91.01396254750784	88.80999674503379	83.19080141120902	79.92005216327439	78.21606222238876	77.07908431334594	76.97899059905279
2.42	85.10275644532909	91.0608837437657	88.98010949853807	83.43121301110868	80.19477704412338	78.50127977060889	77.36839084588514	77.26847927762255
2.43	85.48141247161632	91.53206558456513	89.64880923280576	84.18018960184762	80.96752507698096	79.27419326507759	78.13707683933397	78.03690324737997
2.44	87.02930458905702	93.3254732039699	91.60475509888792	86.08830560678314	82.816291112982	81.0758082077033	79.90203709744003	79.79831285633233
2.45	88.71703205530241	95.2440122259015	93.52736839827273	87.86053748470712	84.4943612445638	82.69213909240771	81.47434010853996	81.36662428792765
2.46	90.17830764939642	96.89749222621312	95.15289528158998	89.33655913651091	85.88594104249384	84.02887913686386	82.77146824757973	82.66023744418231
2.47	91.51081629957322	98.40186569241376	96.61181167585099	90.6469975921671	87.11750436446177	85.20952796136476	83.9162191987305	83.80176991890163
2.48	92.75887688786113	99.8078054698767	97.96028735462853	91.84607785082662	88.24141812594704	86.28482308817652	84.95722722615655	84.83972557373957
2.49	93.93453372637742	101.12990048291337	99.21677453735683	92.95528518472818	89.2781551116564	87.27491672704241	85.91476313191725	85.79435173073243
2.5	95.05351297882679	102.38636128420569	100.40128583970989	93.99246781763725	90.24553098245062	88.1970255936066	86.80538262953232	86.68217324829429
2.51	96.12107487711029	103.58340225178087	101.51822531397151	94.96299992031383	91.14861853163092	89.05680506722756	87.63495212381025	87.50902339260507
2.52	97.14759184683011	104.73319439053685	102.58272432526712	95.8812842384263	92.00124424090666	89.86700562929107	88.41587365135901	88.28738983648135
2.53	98.1343774613575	105.83675773610719	103.59599274565313	96.74881160821384	92.8046559181875	90.62917832495688	89.14937550567224	89.01844540116019
2.54	99.08674208086154	106.90069153837939	104.565261989676	97.5718554499058	93.5657654335913	91.34993066308571	89.84241301644344	89.7092605585292
2.55	100.00606302185948	107.9261585025537	105.4924214341783	98.35356193610345	94.28702778792982	92.03168529882596	90.49746652686612	90.36234739482572
2.56	100.89637991908299	108.91805395693831	106.38032046488566	99.09679583500672	94.97096947516195	92.67706630589845	91.11696870485495	90.98019746555258
2.57	101.75953536556051	109.87847951369946	107.23381546007235	99.80550987797339	95.62211291037593	93.28992820188957	91.70559074452758	91.56692307080877
2.58	102.59650999789937	110.80810378456074	108.05364366229102	100.48236749346044	96.24164870362043	93.87268952106508	92.26486205321488	92.12482106333692
2.59	103.41061812101502	111.711731107344	108.84238370026326	101.12801701812377	96.83057355306815	94.42490635117349	92.7952131173038	92.65341053095374
2.6	104.201757916592	112.58791416531659	109.60140727855133	101.7452893721278	97.39084613351838	94.94910739539573	93.29822779141905	93.15478581744922
2.61	104.97062936983887	113.4388544317885	110.33126881459135	102.33587167205297	97.92540574474177	95.44833322413575	93.7772835098682	93.63221865311436
2.62	105.71651027900909	114.26234218076591	111.03115670431328	102.89801021303244	98.4316284146869	95.91985874490723	94.2299300823911	94.08329289884377
2.63	106.44558487662262	115.06612840009335	111.7078661249569	103.43800544589342	98.91631611540336	96.36990237665101	94.66174029538544	94.51365210525763
2.64	107.15206083665102	115.84380711089293	112.35608106030274	103.94975921110819	99.37364511069353	96.79350867461756	95.06829119205796	94.91866778641074
2.65	107.84342468317938	116.60343823192888	112.98343389341622	104.44360399229174	99.81232372655079	97.1987592849432	95.45710377293041	95.30595418344437
2.66	108.51126254234339	117.33558676590621	113.58082493830861	104.90848785687278	100.22352632321169	97.57767869740739	95.82186158750696	95.6692689272328
2.67	109.16334459718954	118.04909401021794	114.15772385148593	105.35344932248528	100.6151791381681	97.93820045064864	96.16564461640849	96.01168941423335
2.68	109.79540317419523	118.7387875706169	114.70787220574631	105.77459132111174	100.98373738569073	98.27696845834386	96.48922845827127	96.33392757296988
2.69	110.41025808072007	119.40850789748983	115.23537335659135	106.17448239394835	101.33177302789176	98.5965426295888	96.79400094456943	96.63733298060122
2.7	111.00295896597846	120.05209707453419	115.73687781695159	106.55074649384363	101.65769421405184	98.89467184476118	97.07788900926718	96.91998404877295
2.71	111.575056263502	120.67175492733038	116.2127268417875	106.90418695574552	101.96163775789512	99.17285061069893	97.34235804583412	97.18332800066469
2.72	112.12188429241623	121.26210739450588	116.66023798078828	107.23372905337197	102.24296258072587	99.42968235907716	97.58621690222964	97.42605623815194
2.73	112.64338368753721	121.8242404731182	117.08181949452819	107.54173888686752	102.50554902445647	99.6696474376688	97.81358159165949	97.65236690851864
2.74	113.14637217076454	122.36503098368719	117.48914100609275	107.84201875888637	102.76191729789147	99.90435138416237	98.03602362379158	97.87382193329307
2.75	113.65944878070599	122.9208948100593	117.9207480823404	108.17027056094386	103.04488530081416	100.16604561435575	98.28563702705551	98.12232296643522
2.76	114.25473909901592	123.57149274524777	118.4374149822931	108.56876645132004	103.39076712351056	100.4864553446282	98.59053703308685	98.4260368233991
2.77	114.85182947081543	124.22025191201817	118.93475607500473	108.94093630452839	103.70787980234861	100.77819939247595	98.8667344553153	98.70082444604805
2.78	115.42970101985752	124.84541550173489	119.40373500215318	109.28506889544268	103.99760223289917	101.04335573792231	99.11691498859625	98.94968111586282
2.79	116.0002252588328	125.46038009581915	119.85668276386558	109.6123787155182	104.26981913581581	101.29207437685803	99.35069540400495	99.18227561828829
2.8	116.55491693810595	126.0567531034174	120.28746827354027	109.91976875093486	104.52309168620205	101.52270089142807	99.56693012561513	99.39730603496237
2.81	117.09769487279456	126.63704380312886	120.69996298404679	110.20896482243741	104.75834148502112	101.73620666984516	99.7662945362075	99.59550821639117
2.82	117.62947318939595	127.20483076060982	121.09571060574672	110.48349473330813	104.97928254126656	101.93616173663207	99.95222381096033	99.78032865613353
2.83	118.15082044210025	127.75934076750951	121.47636792604833	110.74239899954355	105.1863004360326	102.12266026553765	100.12545999360637	99.95235030622752
2.84	118.66323728752238	128.30258359052698	121.8431238667419	110.98797035384945	105.37911892676446	102.29494730473618	100.2841457335669	100.10993211112803
2.85	119.16361761802175	128.8309820339132	122.19281493145432	111.21744590072616	105.55793972258597	102.45349821431475	100.42992993929171	100.25474923528785
2.86	119.65460803688008	129.34740810870562	122.52956795158687	111.43411650320056	105.72494803685551	102.60028907630462	100.56367840130699	100.38743417818982
2.87	120.13810890701862	129.85415742553693	122.85386155584898	111.63932465548487	105.88087613712182	102.73636099433126	100.68726900837449	100.50999923320136
2.88	120.61032358735731	130.34708658816638	123.16249883252641	111.8300796061236	106.02476680665048	102.86026853813462	100.79871851431845	100.62045198111834
2.89	121.07550990220454	130.83115789467868	123.45976690083936	112.00959005393959	106.15737104778334	102.9733290992906	100.8996507998447	100.7204020390334
2.9	121.53221117754994	131.30408201640859	123.74368111031308	112.1762357806495	106.27769049246206	103.07421668022178	100.9890630746977	100.80885812793866
2.91	121.97924894487473	131.76530485026322	124.01520945630965	112.3322409366559	106.38882294065068	103.16612688916348	101.06904411155011	100.8878641582162
2.92	122.41991656511536	132.2173940931845	124.27544340794206	112.4769485727817	106.4891416508689	103.24696158738541	101.13832930089717	100.9562003985195
2.93	122.85173983141426	132.65857700211922	124.52297558410866	112.60953071369725	106.5782375883696	103.31800016292027	101.19797629343628	101.01489789854503
2.94	123.27715149747172	133.0912974933037	124.75974866892496	112.7336759464431	106.65928285748171	103.37993183873357	101.24835860970553	101.0643138222716
2.95	123.69138840201995	133.51015521144805	124.98193022206073	112.84323667447246	106.7274536185976	103.43038097925107	101.28807726905058	101.10309650372012
2.96	124.10056261699027	133.92099043755934	125.19444601738384	112.94523543928527	106.788484015774	103.47297837700374	101.31912734299462	101.13318970665034
2.97	124.500369842179	134.32195841790085	125.39486969010466	113.0361210752917	106.83965960467734	103.50643379417589	101.34163740356495	101.15470883529105
2.98	124.8940605957139	134.71413151293154	125.58459788272293	113.11741130258429	106.88106793136473	103.53006730232178	101.35419018350635	101.1662930059428
2.99	125.28117258562635	135.09615495228593	125.76319698163253	113.18701711174202	106.912085839311	103.54401043049518	101.35710674340196	101.16805601025133
3.0	125.66017396345941	135.469044809383	125.9312117571526	113.24855685359151	106.93627882307025	103.55038756013893	101.35182322049633	101.16191485058314
3.01	126.03306690436973	135.8331044551086	126.08866909085664	113.30028188474343	106.95100874369587	103.54878198670711	101.33896798099948	101.14822744412305
3.02	126.39895542446537	136.18804131949685	126.23599261561641	113.34312243034978	106.95725869443869	103.53750891143292	101.31659020113437	101.1252854322834
3.03	126.75866756696216	136.53451203413724	126.37295004701303	113.3769645370946	106.95634853171155	103.51946073196338	101.28756966094734	101.09581886468617
3.04	127.10948347790577	136.87036312751917	126.49700238071944	113.3995046192644	106.94437848899823	103.49107368405902	101.24838806224007	101.05624773428515
3.05	127.45461775458566	137.19716719394592	126.61250239302564	113.41380166628801	106.9256167813671	103.45583538286569	101.20315875451853	101.01098508899994
3.06	127.79492898414951	137.51754737728612	126.71949210610885	113.42004853188553	106.89870344317121	103.41223120326079	101.15066278240316	100.9592519460908
3.07	128.1256943432352	137.8257269024464	126.81340106416101	113.41671594151987	106.86312656356385	103.36006830719647	101.09127682148211	100.90143091206656
3.08	128.4513166155126	138.12698543321847	126.89890887538495	113.4049357277897	106.82175300367344	103.30227795384296	101.02933152432007	100.8411387988187
3.09	128.77154341800218	138.42069711900376	126.97568069891125	113.38610019085881	106.77276381427207	103.23651080653293	100.96216802722489	100.77529393108468
3.1	129.08530783659	138.705711592851	127.04228029550872	113.35784059590713	106.71565047100529	103.16243262466048	100.8888992588765	100.7032084111571
3.11	129.391672983744	138.98032333682414	127.098017438193	113.32021931849675	106.64989618157765	103.079497394916	100.80974373649633	100.62511424793261
3.12	129.69388130912884	139.24931329383278	127.14625061083528	113.27644184653148	106.57924854528183	102.99123597228214	100.72678868744853	100.54304256180365
3.13	129.98740533897197	139.5069066000779	127.18252394300539	113.22235948690303	106.49932767000548	102.89462014704264	100.63848847032375	100.45565591278675
3.14	130.27900603097768	139.76105438509498	127.21337943733548	113.16424871699563	106.41437754869338	102.79236638178755	100.54598190072508	100.36393905999758
3.15	130.5592546026164	140.00088151908037	127.22955566210254	113.09498180565205	106.31949816722813	102.68130977912709	100.44620679433204	100.26490449320539
3.16	130.83532552891398	140.23301203713135	127.23751418910331	113.0194637236953	106.21767122550965	102.56314622215655	100.3393387753554	100.1586652309531
3.17	131.10658277319394	140.46041655149241	127.23851407886559	112.93918573682753	106.11243418623258	102.44251619486265	100.23274358492972	100.05263391333968
3.18	131.37378016766485	140.68076014297213	127.2324241019664	112.85299047623924	105.99962578437378	102.31733233937045	100.12017840321948	99.94050875028375
3.19	131.6302754398874	140.88701026212334	127.21293650786274	112.75606052371013	105.8777455734908	102.18506656794864	99.99914993878994	99.81991927306139
3.2	131.88229661757094	141.08741488212397	127.18595610780793	112.65446973352138	105.75027815515557	102.0509752094923	99.87458389363819	99.69572118786823
3.21	132.1306226643535	141.28166545106876	127.15300491465035	112.54704695289065	105.61745239427161	101.91386919476899	99.74638450821595	99.56803769918264
3.22	132.37223388622448	141.46638619675105	127.10981936522472	112.43232942865755	105.47737153297179	101.7717719148617	99.61232679309053	99.43470149835214
3.23	132.60654949152905	141.64120029450584	127.05604921544284	112.31013373160417	105.3296358846135	101.62428682170214	99.47261452310626	99.29677294964253
3.24	132.83684175447425	141.81130181061394	126.99637776699646	112.18263661260171	105.17610294035116	101.47336415273143	99.33020069173784	99.15678652536737
3.25	133.06021729471544	141.97080141327308	126.92733739404285	112.04854054264538	105.01635930707587	101.31901409488293	99.18584259742526	99.01478023763806
3.26	133.2790028166139	142.12353403727448	126.85208614620228	111.90929083235861	104.85078663399585	101.16034767869445	99.0391350397327	98.87017018051853
3.27	133.49101870231024	142.26756153616205	126.76848651135883	111.7617114227834	104.67712652150361	100.99583104306068	98.88902365797013	98.72199217453993
3.28	133.6965742680266	142.4021770296306	126.67706392797375	111.60796984078887	104.4970272197483	100.827518738632	98.73500980966101	98.56979542550071
3.29	133.8972947274012	142.5306685779273	126.58053615988894	111.44935146080769	104.31155398613576	100.65569449398338	98.57985414320761	98.41633986139337
3.3	134.0919314612854	142.6498678989704	126.47538969587526	111.28501186584809	104.12069665541127	100.47942733364724	98.42171289988447	98.2598211214485
3.31	134.2813136641765	142.76164779058314	126.36485497899147	111.11310197863554	103.92285425180337	100.29743278590024	98.25930462847789	98.0989368071228
3.32	134.46393809821822	142.86365652017906	126.2453300434203	110.93509442722836	103.7185676109866	100.11066821357392	98.09321671586918	97.93435672197037
3.33	134.64103468175693	142.95889696361982	126.12020190774126	110.75207272849858	103.51007053947599	99.92026311742723	97.925256337762	97.76780351565208
3.34	134.80929465469777	143.04216493088137	125.98491788776201	110.5607232833969	103.29579690752506	99.72549359244029	97.75311725159658	97.59699879304448
3.35	134.97350955993682	143.1187031163309	125.84378838277492	110.36462996118975	103.07976864153143	99.52884579225116	97.57850426179728	97.42364603031552
3.36	135.12960089328033	143.18455081544354	125.6944982958135	110.16157892040171	102.85967400869684	99.32906516053757	97.39930467471336	97.2456418650248
3.37	135.27994722535075	143.24297346513944	125.53798131853205	109.95246165266556	102.63734433798791	99.12838433425415	97.21791383876202	97.06536873446233
3.38	135.4247628498238	143.29344398965574	125.37566135127474	109.7384401109051	102.41082911363704	98.92455084374132	97.03266274426262	96.88116537092647
3.39	135.560275170929	143.33044901743352	125.20244790709842	109.51589100260576	102.1799899074913	98.71708223747444	96.8423182119217	96.69182658664263
3.4	135.68994882742942	143.36129266841706	125.02421466621438	109.28902442625477	101.94673973919825	98.50842938725916	96.65002784528465	96.50068859740566
3.41	135.81239737380398	143.37984759155205	124.8361244836775	109.05527453707384	101.70901137066464	98.29656870667037	96.45403208530114	96.30618345701043
3.42	135.927919368091	143.3907780062689	124.64121624636854	108.81476669602517	101.46667793945163	98.08072673477024	96.25479668748993	96.10900919911346
3.43	136.03253788802343	143.38655129839265	124.43489815820061	108.56572004006514	101.21852484827264	97.86069244542163	96.050997019913	95.90757189544898
3.44	136.12838914358392	143.3717165189321	124.22040404962087	108.30993090111784	100.9662817587569	97.63742189095643	95.84438777800226	95.70346348994973
3.45	136.21262976509485	143.34143926779623	123.99392165854076	108.04715371004401	100.7084525224302	97.41012895724724	95.63539107018102	95.49671119614074
3.46	136.28380536813734	143.29535105212508	123.75515250704063	107.7704897991266	100.44001418482338	97.17386110186158	95.41964047946769	95.28307165530524
3.47	136.34376043347223	143.23474060088355	123.50600286851542	107.488295076497	100.16768869491342	96.9351239770607	95.20191859980035	95.06741976146573
