T(K)	v(THz2π)	w(THz2π)	E(meV)	M(mₑ)	R(Å)	κ(N/m)	ReΣ(ps⁻¹)	ImΣ(ps⁻¹)	μ(cm²V⁻¹s⁻¹)
35.0	7.233366045178871	4.8693546253148865	-14.593557169719295	0.26480081863521643	36.89011940082631	0.00012347031567109087	3.1360065700259426e-15	22.995235866291406	637.3856527641334
36.0	7.361087637108071	4.966785278822116	-14.675858945311534	0.2635812128644907	36.389977932600026	0.0001273787903817522	2.9855061695498067e-15	24.051181323607626	609.4018096614171
37.0	7.489667480070855	5.065596265639755	-14.761587360486262	0.2623283172382453	35.90898959900925	0.00013134126446315305	2.844888310162969e-15	25.089684109791417	584.17767872101
38.0	7.619038982227232	5.165700230254175	-14.85052016340242	0.26104972320259384	35.4460410112832	0.00013535657940708998	2.713373055763202e-15	26.109249272690985	561.3655632156266
39.0	7.749142175908703	5.267017182747798	-14.942454950867631	0.25975207999506644	35.000098111567695	0.00013942366125664518	2.5902500355895976e-15	27.10936010523402	540.6558239001575
40.0	7.879922887656714	5.369473716392357	-15.037207214499505	0.2584411943655223	34.57020037943678	0.000143541510299145	2.47487159274045e-15	28.089996067513567	521.7812557849438
41.0	8.011332033810703	5.473002327646266	-15.134608583820004	0.2571221220452917	34.15545529828174	0.00014770919239436313	2.3666466976470568e-15	29.051275492345965	504.51600402064776
42.0	8.14332501965126	5.5775408223620015	-15.234505248282343	0.25579925106394696	33.755033133656845	0.00015192583163628687	2.26503551980713e-15	29.99313998338932	488.6728575673821
43.0	8.27586122446186	5.683031795067697	-15.3367565410857	0.25447637720492117	33.368162048972195	0.0001561906041089873	2.1695445716566056e-15	30.915168289631158	474.09845179517316
44.0	8.408903558193664	5.789422170484936	-15.441233668742026	0.25315677201897185	32.99412356591576	0.0001605027325439666	2.0797223538375584e-15	31.817363501819706	460.6551835215104
45.0	8.542418078100745	5.8966627983392925	-15.547818571579553	0.25184324388776913	32.63224836516258	0.00016486148172387225	1.9951554427272305e-15	32.70168129039147	448.1981612183312
46.0	8.676373655870217	6.004708094056524	-15.656402901629924	0.25053819266601374	32.28191241530684	0.00016926615450791086	1.915464970059033e-15	33.56621035428329	436.65439942138255
47.0	8.810741687422722	6.113515719106728	-15.766887105589118	0.249243658441881	31.942533413412384	0.00017371608837666916	1.8403034515497438e-15	34.412521338909876	425.9157089582109
