mp_id	formula	mode	eps_total(ϵ0)	eps_optic(ϵ0)	eps_ionic(ϵ0)	band_mass(me)	volume(Å^3)	alpha	v_gs	w_gs	v_rt	w_rt	energy_gs(meV)	energy_rt(meV)	AHC_alpha	AHC_ZPR(meV)	imag_memory	mobility(cm^2/V/s)
mp-20459	TiPbO3	single	101.81267091577803	7.100573942281998	94.71209697349602	1.287875443716	62.835551486	2.1411999999999987	51.82592962255936	42.88527493809497	62.055291828306125	45.51805238731375	-144.58473477498356	-181.46769944065275	2.1412	-140.461607	19.901502168193808	10.921487902143888
mp-20463	CaPbF6	multi	9.334790726807508	2.0949479463189324	7.239842780488577	0.923461418961	160.407725527	6.671295999999998	48.339263640954115	16.542378008397336	89.51747476286522	29.129197612153668	-308.03092698553115	-451.5905601538531	6.671296	-274.098047	260.018368411078	1.1657857571072514
mp-20463	CaPbF6	single	10.433593313042797	2.0949479463189324	8.338645366723865	0.923461418961	160.407725527	6.671295999999998	53.278268071726785	16.76893770468438	91.48424455094087	26.35514998154698	-313.53809351436735	-460.6127286499846	6.671296	-274.098048	287.31938664685237	1.0550130780157767
mp-20620	Ba2NbInO6	multi	142.15084593616012	4.952502655273554	147.10334859143367	2.489355017361	141.726835578	5.025654999999998	59.22126771622499	33.02887795685507	87.10967886488083	36.95472051422385	-334.58035163825326	-432.34942663085235	5.0256549999999995	-310.317146	107.98982827789544	1.0412903450757809
mp-20620	Ba2NbInO6	single	-78.95786003377367	4.952502655273554	-83.91036268904723	2.489355017361	141.726835578	5.025656000000001	60.41434777534748	31.85574819284248	87.38683941369183	33.747771951724026	-337.68196123752784	-436.8887771387319	5.025656	-310.317147	112.94685735818715	0.9955900339533706
mp-2064	RbF	single	150.73018190422914	2.387780969998948	148.3424009342302	0.41949974534400003	37.8509522377	5.4548239999999995	33.69637427807295	15.93973376974148	69.29592445515905	30.36053514831415	-195.6138434927006	-316.1083624966628	5.454824	-177.751313	153.26906241727477	4.353668198050344
mp-2068	RhF3	single	9.888080689611911	8.438169643519862	1.4499110460920501	19.814062787400996	93.4992792609	1.1700120000000003	45.01453127975312	40.94035276998526	54.76024055523229	46.925483022440204	-70.61192142547321	-91.09799039315034	1.170012	-69.577064	9.325356372946233	1.5149648528045045
mp-2072	KTe	multi	9.009027814347135	5.655188716396702	3.353839097950432	0.31299213484899996	319.826620067	1.1211519999999995	11.229085437617469	10.267166708584146	43.37665476018541	39.68270111488239	-16.853853075848107	-39.37944723221223	1.121152	-16.617982	8.403320697554694	106.42831037986868
mp-2072	KTe	single	9.034715752039164	5.655188716396702	3.379527035642461	0.31299213484899996	319.826620067	1.1211519999999997	11.198094222177081	10.22876879122303	43.34618057255498	39.63256160637797	-16.858118427157155	-39.552717132122716	1.121152	-16.617981	8.48543985367382	105.3983339512696
mp-20731	In2HgSe4	multi	18.67353826826574	12.278623604056293	6.394914664209442	0.067301330625	197.439627579	0.20458899999999994	13.76794064989262	13.57267590597072	42.20470725535798	41.509305561240154	-3.7110703046444846	-7.724107810326256	0.20458899999999997	-3.7037280000000004	1.367642000303674	3041.2032744818216
mp-20731	In2HgSe4	single	18.98414217723347	12.278623604056293	6.705518573177174	0.067301330625	197.439627579	0.20459199999999994	13.222685138623378	13.02084909541522	41.85470746353768	41.13563964323094	-3.712115707489527	-7.93701307035135	0.204592	-3.703728	1.4555920674914995	2857.447098355179
mp-2074	Li3Sb	single	29.22092585162882	10.506524704457902	18.714401147170914	0.38112966544900007	68.3137867649	0.7738889999999999	23.98256765544191	22.568650299964446	45.65885764177512	41.9328169269138	-25.13612146336533	-41.18988758508198	0.773889	-24.897773	6.763903506222002	108.58538431309043
mp-20782	LiInTe2	multi	11.264823529420035	7.4081316637812	3.856691865638833	0.190162277776	259.499068331	0.5714559999999997	15.239171645940447	14.670149950671002	43.686576091985465	41.726009721701736	-11.015661772492948	-21.753304248117537	0.5714560000000001	-10.955276	3.8043364582233536	386.93519987843814
mp-20782	LiInTe2	single	11.655509161806469	7.4081316637812	4.24737749802527	0.190162277776	259.499068331	0.5714570000000003	14.184574410295468	13.571710207807172	42.79793565379851	40.695106934337716	-11.031686855702185	-22.92859555310639	0.571457	-10.955276	4.3718872203103185	336.70394813226613
mp-2079	Rb2P3	multi	8.986086286425493	4.831722839677378	4.154363446748113	0.609629900944	310.100142874	2.1820049999999998	12.987015509815812	10.766354839662013	46.29313376182607	38.41016884785902	-36.91664924469158	-81.06889942449484	2.1820050000000006	-35.89126400000001	19.6183557754607	23.405216548048116
mp-2079	Rb2P3	single	9.10777295832459	4.831722839677378	4.276050118647213	0.609629900944	310.100142874	2.1820030000000004	13.020987179046779	10.727724776048216	46.14577038266467	38.112651318907915	-36.978006011545126	-82.1509701985232	2.182003	-35.891263	20.397034640719994	22.511697083880613
mp-20790	InPS4	multi	14.293692547385017	6.0088375776824385	8.284854969702577	0.34321319233600006	143.303051798	1.5009909999999993	16.484699829313318	14.752985537888105	47.33168878035831	41.608504224604474	-33.49907203313913	-62.50788543105301	1.5009909999999995	-32.988600999999996	11.629745643640124	70.1305654686418
mp-20790	InPS4	single	15.761116981984275	6.0088375776824385	9.752279404301836	0.34321319233600006	143.303051798	1.5009909999999989	16.86563160134984	14.881049872398556	45.6272732697942	39.40702084374076	-33.642529560414324	-65.42190727890497	1.500991	-32.988602	13.983109781483877	58.327557388196716
mp-20832	Zn(InTe2)2	multi	15.600619584683052	11.533407816045251	4.067211768637801	0.08513615196100001	229.525269208	0.18075199999999988	14.105995403188878	13.924368365788084	42.08265151421223	41.44893505813536	-3.4039972212282	-7.033458041594356	0.18075200000000002	-3.3978580000000003	1.2489338977563431	2632.6192942803436
mp-20832	Zn(InTe2)2	single	15.703976938649733	11.533407816045251	4.170569122604481	0.08513615196100001	229.525269208	0.18075299999999989	13.719413731912008	13.534553306848618	41.88550141622675	41.239041924967076	-3.4045141455862966	-7.149679185992931	0.180753	-3.397858	1.2958375303507172	2537.3300274952044
mp-21166	SrCaPb	multi	30.125241620628096	17.580900868609284	12.544340752018808	0.175793202729	415.92523733	0.3147259999999999	10.070573949455316	9.83590652962202	41.651514088533126	40.68952271235109	-4.330150898139669	-10.530342937208092	0.31472599999999995	-4.314584	2.042813681351348	779.4902609890776
mp-21166	SrCaPb	single	30.254775672024795	17.580900868609284	12.673874803415512	0.175793202729	415.92523733	0.3147259999999999	10.05136861521742	9.814417875078979	41.59863970084983	40.630445748763606	-4.330543052775812	-10.587391917746906	0.314726	-4.314583	2.0657501448886544	770.8354147129684
mp-21228	SrCuSeF	multi	15.53875604097272	5.897203205663898	9.641552835308822	0.24441949454400003	140.287337803	1.1297059999999994	22.675272753573804	20.76110767919438	46.66977113409292	41.42177516008466	-34.044639136365944	-57.22009203808281	1.129706	-33.585914	10.011412253816212	114.39586928322211
mp-21228	SrCuSeF	single	15.934527273699567	5.897203205663898	10.037324068035671	0.24441949454400003	140.287337803	1.1297039999999994	22.46830993006624	20.507921858954038	46.21965297058192	40.86984811770857	-34.071617096811536	-57.80014821218678	1.129704	-33.585915	10.50415683145455	109.02961807448743
mp-21276	PbS	single	-180.91805561674875	17.20148713144709	-198.1195427481958	0.11385900489999999	51.44423864649999	0.4856839999999999	19.63250109775963	18.91384104798581	43.76406058121929	41.67061935745008	-13.00186196451608	-23.192610546219605	0.485684	-12.926861	3.9555122943507315	621.543325612129
mp-2133	ZnO	multi	12.847393296055772	5.288987841644011	7.558405454411758	0.14185768959999998	46.94935592059999	0.5997319999999998	49.18483977839942	46.95251347577117	54.72093436966328	50.6922318282248	-40.106330657061115	-49.864091972137224	0.599732	-39.824025	3.8515554065358897	512.3331975067367
mp-2133	ZnO	single	12.848315792326687	5.288987841644011	7.5593279506826745	0.14185768959999998	46.94935592059999	0.5997319999999998	49.18238798203794	46.94991767841742	54.715590930567615	50.68661795854636	-40.106422623109616	-49.86412823619658	0.599732	-39.824026	3.852051263658537	512.2672471733263
mp-21374	Cd(InTe2)2	multi	15.582280749526713	11.316799702059926	4.265481047466785	0.08311631340100002	241.79902516999996	0.19850699999999996	13.060985102140513	12.876099265216968	41.94485117300256	41.273836718769644	-3.466915854829504	-7.424933409773001	0.198507	-3.4599059999999997	1.3453568004966274	2503.3281291827047
mp-21374	Cd(InTe2)2	single	15.693687445477773	11.316799702059926	4.37688774341785	0.08311631340100002	241.79902516999996	0.198507	12.728223891949677	12.53975480266117	41.764947960041894	41.08037816539723	-3.467497823850431	-7.550191134729258	0.198507	-3.459909	1.3946570890534462	2414.83698674362
mp-2150	BaTe2	multi	13.99929675910692	9.592296089708784	4.407000669398136	0.423985904164	224.50645449199996	0.6405279999999998	11.235175719924795	10.689760620281632	42.39896138241	40.298948343139465	-9.777953531633237	-22.746679714705316	0.640528	-9.701176	4.564090006323094	144.65581987675378
mp-2150	BaTe2	single	13.9997595545449	9.592296089708784	4.407463464836117	0.423985904164	224.50645449199996	0.6405289999999998	11.23452896584221	10.689058969178555	42.39844100277413	40.29826407085751	-9.777985073629859	-22.74817864791047	0.640529	-9.701177	4.56471792039849	144.63592129222513
mp-21510	K2NaInAs2	multi	16.61195764424742	8.124608877292653	8.487348766954762	0.10625970062500001	345.791931427	0.5516479999999999	14.442387384685262	13.858221188499025	42.93538923438043	40.93083989396179	-10.708683922217883	-21.950373799996044	0.551648	-10.640742000000001	4.0935102474467335	643.5422429650225
mp-21510	K2NaInAs2	single	16.845426264575238	8.124608877292653	8.720817387282587	0.10625970062500001	345.791931427	0.5516489999999996	14.26180411011415	13.66739684326835	42.76977322808496	40.73555606735331	-10.712186152464342	-22.200801018914273	0.551649	-10.640741	4.215288026109953	624.9505964775703
mp-21511	K2NaInP2	multi	16.283446983656294	6.7991741242284	9.484272859427893	0.15752961	322.1890881339999	0.7929819999999996	20.14385282469084	18.99461148025766	45.028462373740766	41.67034753244924	-21.003415263937338	-37.02621289637976	0.792982	-20.815769000000003	6.361347523452212	279.33812261499787
