mp_id	formula	spgroup	groups	mode	eps_total(ϵ0)	eps_optic(ϵ0)	eps_ionic(ϵ0)	band_mass(me)	volume(Å^3)	alpha	v_gs	w_gs	v_rt	w_rt	energy_gs(meV)	energy_rt(meV)	AHC_alpha	AHC_ZPR(meV)	imag_memory	mobility(cm^2/V/s)
mp-23025	LaClO	129	3-17-16	multi	30.101296243392788	4.46740358031841	25.633892663074377	5.426001866884	113.263544335	7.840176999999996	73.33046922327937	15.684935091198815	115.81972369106332	25.298346265898783	-423.61453502400684	-591.6324470199313	7.840177	-360.229657	428.5797162971168	0.12037324765090414
mp-23025	LaClO	129	3-17-16	single	35.39687556119113	4.46740358031841	30.92947198087272	5.426001866884	113.263544335	7.840177999999997	80.71752821480092	15.878878372531366	119.85533983862501	23.114081082965196	-433.22296242727504	-604.633296869626	7.840178	-360.229657	429.5432624224073	0.12010322787289958
mp-23033	Sr2NCl	166	2-15-17	multi	23.599178231169283	4.811555272118445	18.78762295905083	2.8498740566489995	89.3140337643	5.042325999999997	41.808031932981066	22.782696322273534	73.44314065603287	32.85450369418407	-235.5300139871873	-340.88508994052336	5.042326	-217.523599	120.75867173840167	0.8133875759046413
mp-23033	Sr2NCl	166	2-15-17	single	25.22398501415484	4.811555272118445	20.412429742036398	2.8498740566489995	89.3140337643	5.042326999999999	42.29177030690938	22.21277996533936	73.65490142368122	31.656842689596203	-236.91890686070394	-344.66238364087076	5.042327	-217.523599	131.9489502610398	0.7444060985740564
mp-23036	K2SeBr6	225	1-16-17	multi	26.88299135721121	4.864761881105949	22.018229476105265	7.8854199938009994	277.028397556	15.551483999999995	95.94745048682798	3.0322385933119262	126.60826453902538	17.263356571525666	-366.20692505846677	-615.696731888961	15.551484000000002	-214.32684899999998	2120.713873003714	0.016739197082306128
mp-23036	K2SeBr6	225	1-16-17	single	34.12872347289015	4.864761881105949	29.263961591784202	7.8854199938009994	277.028397556	15.551485999999993	108.1817046382129	3.5665098064776006	135.94367255240525	15.74689274109893	-392.9321363239508	-651.4504463298963	15.551486	-214.326849	2782.7337937683874	0.012756896672935778
mp-23040	Ca2PI	166	2-15-17	multi	15.936418185675738	6.305384952817543	9.631033232858194	1.1156640624999998	114.133927873	2.261993999999999	24.041954169055998	20.015912475104074	50.56796867877806	39.63558520238484	-68.02867912966579	-113.2570541485004	2.261994	-66.183883	23.349464899026042	10.745611961847239
mp-23040	Ca2PI	166	2-15-17	single	16.867898640122686	6.305384952817543	10.562513687305144	1.1156640624999998	114.133927873	2.261993	23.25339952764328	18.99259508817405	49.9302711748571	38.46469095657111	-68.29118673599932	-116.3570364564366	2.261993	-66.183884	26.44964818650944	9.486110648900029
mp-23054	NaBiO3	148	1-15-16	multi	17.27662435891056	4.433402139119647	12.843222219790912	8.132455248515999	145.823638827	8.129449999999999	86.1023606272077	15.964946668099318	128.40169190921483	24.640487478471172	-477.6605432547808	-652.2822816606445	8.12945	-399.350003	494.5157682648092	0.06960488230427671
mp-23054	NaBiO3	148	1-15-16	single	18.42681933161996	4.433402139119647	13.993417192500313	8.132455248515999	145.823638827	8.129450999999996	93.31600438831961	16.436844726811266	132.55487313875068	22.59190518841875	-487.0717665868219	-663.5823908452609	8.129451	-399.350002	439.16540096080035	0.07837755836952509
mp-23056	Sr2BrN	166	2-17-15	multi	21.072293880081354	5.130319389456478	15.941974490624876	2.602423919209	94.9583341017	4.568153999999998	36.31638662497208	22.256660701253846	66.63396535181138	34.643174306569705	-190.3926218320426	-284.25864468889665	4.568154	-178.219511	88.60767883485862	1.213925761244485
mp-23056	Sr2BrN	166	2-17-15	single	23.10273191613589	5.130319389456478	17.972412526679413	2.602423919209	94.9583341017	4.568153999999998	36.34719239557623	21.162195394372844	66.68104531439818	32.99486646507402	-191.95417880486087	-290.01959114532025	4.568154	-178.219512	102.60764233405396	1.0482956389498286
